customer_id,name,gender,age,city,state,signup_date,total_orders,completed_orders,total_units,active_months,first_order_date,last_order_date,last_completed_order_date,recency_days,account_age_days,customer_lifetime_days,total_gross_revenue,total_revenue,total_profit,average_order_value,order_frequency_monthly,gross_margin_pct,refund_count,refund_amount,refund_rate,cancellation_count,cancellation_amount,cancellation_rate,recent_revenue,recent_order_count,historical_revenue,historical_order_count,recent_revenue_ratio,recent_order_ratio,revenue_trend,r_score,f_score,m_score,rfm_score,customer_segment,risk_score,risk_level,key_risk_driver,recommended_action,churn_probability
CUST_000012,Benjamin Miller,Male,54.0,Los Angeles,CA,2023-02-24,0.0,0.0,0.0,0.0,,,,999,492,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,000,Inactive / Unactivated,85,CRITICAL,Unactivated Account (0 Completed Purchases),High-Touch Re-engagement / VIP Concierge Win-Back Promo,1.0
CUST_000013,Michael Johnson,Male,38.0,Houston,TX,2023-11-25,5.0,5.0,8.0,5.0,2023-11-27,2024-06-29,2024-06-29,1,218,215,1107.98,1107.98,534.03,221.6,0.688,48.2,0.0,0.0,0.0,0.0,0.0,0.0,204.99,2.0,902.99,3.0,0.185,0.4,-0.0859,5,3,2,532,Potential Loyalists,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.0804
CUST_000014,Matthew Rodriguez,Male,37.0,Denver,CO,2022-11-12,1.0,1.0,1.0,1.0,2022-11-22,2022-11-22,2022-11-22,586,596,0,340.99,340.99,186.68,340.99,0.05,54.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.99,1.0,0.0,0.0,-0.3238,1,1,1,111,Hibernating,40,MEDIUM,Severe Inactivity (>365 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,1.0
CUST_000015,Alice Walker,Female,18.0,Dallas,TX,2023-09-15,4.0,4.0,5.0,3.0,2023-09-17,2024-03-08,2024-03-08,114,289,173,852.98,852.98,297.43,213.24,0.415,34.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.98,4.0,0.0,0.0,-0.3295,3,2,2,322,Promising,30,MEDIUM,Cooling Purchase Cadence (91-180 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,0.7271
CUST_000016,Sarah Richardson,Female,23.0,Philadelphia,PA,2023-02-12,19.0,17.0,38.0,14.0,2023-02-14,2024-06-30,2024-06-30,0,504,502,6818.39,6191.9,3021.8,364.23,1.012,48.8,0.0,0.0,0.0,2.0,626.49,0.1053,3145.99,7.0,3045.91,10.0,0.5081,0.4118,0.3436,5,4,5,545,Champions,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.1631
CUST_000017,Tyler Mendoza,Male,45.0,Seattle,WA,2022-08-29,5.0,4.0,9.0,5.0,2022-08-31,2023-07-16,2023-07-16,350,671,319,2717.44,2282.44,1098.39,570.61,0.179,48.12,1.0,435.0,0.2,0.0,0.0,0.0,0.0,0.0,2282.44,4.0,0.0,0.0,-0.3319,2,2,3,223,Promising,65,HIGH,High Inactivity (181-365 Days),Automated Multi-Channel Retention Flow (15% Reactivation Offer),1.0
CUST_000018,Jacqueline Carter,Female,54.0,Denver,CO,2022-10-31,39.0,38.0,58.0,15.0,2022-11-01,2024-02-20,2024-02-20,131,608,476,12025.31,11923.31,4684.49,313.77,1.875,39.29,0.0,0.0,0.0,1.0,102.0,0.0256,0.0,0.0,11923.31,38.0,0.0,0.0,-0.3331,3,5,5,355,Loyal Customers,60,HIGH,Cooling Purchase Cadence (91-180 Days),Automated Multi-Channel Retention Flow (15% Reactivation Offer),0.883
CUST_000019,Kevin Nelson,Male,48.0,Dallas,TX,2022-10-30,2.0,2.0,2.0,2.0,2022-10-30,2022-11-16,2022-11-16,592,609,17,123.97999999999999,123.97999999999999,71.35,61.99,0.099,57.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.97999999999999,2.0,0.0,0.0,-0.3085,1,2,1,121,Hibernating,55,HIGH,Severe Inactivity (>365 Days),Automated Multi-Channel Retention Flow (15% Reactivation Offer),1.0
CUST_000020,Peter Campbell,Male,38.0,Houston,TX,2023-10-10,4.0,2.0,4.0,4.0,2023-10-12,2024-06-16,2024-06-16,14,264,248,3153.46,2877.9700000000003,751.44,1438.98,0.227,26.11,1.0,73.5,0.25,1.0,201.99,0.25,97.0,1.0,2780.9700000000003,1.0,0.0337,0.5,-0.2874,4,2,3,423,Potential Loyalists,15,LOW,High Return Friction (25.0% Refund Rate),Loyalty Points Acceleration & Exclusive Product Previews,0.0849
CUST_000021,Anthony Stewart,Male,63.0,Austin,TX,2022-07-29,2.0,1.0,1.0,2.0,2022-07-30,2022-08-31,2022-08-31,669,702,32,1992.0,865.5,159.01,865.5,0.043,18.37,0.0,0.0,0.0,1.0,1126.5,0.5,0.0,0.0,865.5,1.0,0.0,0.0,-0.3295,1,1,2,112,Hibernating,40,MEDIUM,Severe Inactivity (>365 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,1.0
CUST_000022,Deborah Chavez,Female,51.0,San Diego,CA,2024-03-16,4.0,4.0,5.0,3.0,2024-03-17,2024-06-09,2024-06-09,21,106,84,862.47,862.47,265.97,215.62,1.132,30.84,0.0,0.0,0.0,0.0,0.0,0.0,841.47,3.0,21.0,1.0,0.9757,0.75,0.9564,4,2,2,422,Potential Loyalists,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.1384
CUST_000023,Timothy Reed,Male,34.0,Atlanta,GA,2023-09-01,1.0,1.0,1.0,1.0,2023-09-01,2023-09-01,2023-09-01,303,303,0,53.99,53.99,33.77,53.99,0.099,62.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.99,1.0,0.0,0.0,-0.2812,2,1,1,211,Hibernating,25,MEDIUM,High Inactivity (181-365 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,0.999
CUST_000024,Jordan Garcia,Male,66.0,San Jose,CA,2023-01-23,0.0,0.0,0.0,0.0,,,,999,524,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,000,Inactive / Unactivated,85,CRITICAL,Unactivated Account (0 Completed Purchases),High-Touch Re-engagement / VIP Concierge Win-Back Promo,1.0
CUST_000025,Paul Phillips,Male,25.0,San Antonio,TX,2024-03-29,1.0,1.0,2.0,1.0,2024-04-08,2024-04-08,2024-04-08,83,93,0,153.98,153.98,96.25999999999999,153.98,0.323,62.51,0.0,0.0,0.0,0.0,0.0,0.0,153.98,1.0,0.0,0.0,1.0,1.0,0.939,4,1,1,411,New Customers,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.6781
CUST_000026,Lisa Smith,Female,20.0,New York,NY,2022-08-12,22.0,19.0,24.0,14.0,2022-08-12,2024-03-10,2024-03-10,112,688,576,4485.9,3918.41,1733.8,206.23,0.828,44.25,1.0,91.0,0.0455,2.0,476.49,0.0909,0.0,0.0,3918.41,19.0,0.0,0.0,-0.3325,3,5,4,354,Loyal Customers,60,HIGH,Cooling Purchase Cadence (91-180 Days),Automated Multi-Channel Retention Flow (15% Reactivation Offer),0.8887
CUST_000027,Abigail Anderson,Female,33.0,Los Angeles,CA,2023-10-25,4.0,3.0,5.0,4.0,2023-10-27,2024-03-12,2024-03-12,110,249,137,548.97,120.99000000000001,50.239999999999995,40.33,0.361,41.52,0.0,0.0,0.0,1.0,427.98,0.25,0.0,0.0,120.99000000000001,3.0,0.0,0.0,-0.3079,3,2,1,321,Promising,30,MEDIUM,Cooling Purchase Cadence (91-180 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,0.5407
CUST_000028,Margaret Thomas,Female,29.0,Houston,TX,2022-10-02,51.0,49.0,76.0,20.0,2022-10-02,2024-06-25,2024-06-25,5,637,632,10966.72,10647.23,4863.72,217.29,2.308,45.68,2.0,319.49,0.0392,0.0,0.0,0.0,5569.91,19.0,5077.32,30.0,0.5231,0.3878,0.3638,5,5,5,555,Champions,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.1756
CUST_000029,Frances Kelly,Female,34.0,Austin,TX,2023-05-17,19.0,17.0,20.0,9.0,2023-05-17,2024-06-29,2024-06-28,2,410,409,4410.34,4265.360000000001,1756.47,250.9,1.244,41.18,2.0,144.98,0.1053,0.0,0.0,0.0,920.98,6.0,3344.3800000000006,11.0,0.2159,0.3529,-0.0453,5,4,4,544,Champions,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.1144
CUST_000030,Jose Jackson,Male,48.0,Atlanta,GA,2022-03-02,2.0,2.0,3.0,2.0,2022-03-03,2022-04-14,2022-04-14,808,851,42,435.97,435.97,194.61,217.98,0.071,44.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.97,2.0,0.0,0.0,-0.3259,1,2,2,122,Hibernating,55,HIGH,Severe Inactivity (>365 Days),Automated Multi-Channel Retention Flow (15% Reactivation Offer),1.0
CUST_000031,Raymond Mitchell,Male,38.0,Charlotte,NC,2023-12-21,2.0,1.0,3.0,2.0,2023-12-21,2024-01-17,2023-12-21,192,192,27,992.97,932.97,537.96,932.97,0.156,57.66,0.0,0.0,0.0,1.0,60.0,0.5,0.0,0.0,932.97,1.0,0.0,0.0,-0.3298,3,1,2,312,Promising,25,MEDIUM,High Inactivity (181-365 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,0.8509
CUST_000032,Walter Ramirez,Male,38.0,Austin,TX,2022-12-24,1.0,1.0,1.0,1.0,2023-01-07,2023-01-07,2023-01-07,540,554,0,222.99,222.99,105.82000000000001,222.99,0.054,47.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.99,1.0,0.0,0.0,-0.319,1,1,1,111,Hibernating,40,MEDIUM,Severe Inactivity (>365 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,1.0
CUST_000033,Evelyn Cox,Female,39.0,Denver,CO,2023-06-17,18.0,17.0,33.0,9.0,2023-06-18,2024-06-14,2024-06-14,16,379,362,6063.91,5859.91,2941.39,344.7,1.346,50.2,1.0,204.0,0.0556,0.0,0.0,0.0,1072.47,5.0,4787.44,12.0,0.183,0.2941,-0.0892,4,4,4,444,Champions,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.1565
CUST_000034,Karen Richardson,Female,18.0,Austin,TX,2024-02-13,7.0,6.0,7.0,4.0,2024-02-13,2024-06-20,2024-06-20,10,138,128,1094.46,997.46,508.27000000000004,166.24,1.304,50.96,1.0,97.0,0.1429,0.0,0.0,0.0,730.47,5.0,266.99,1.0,0.7323,0.8333,0.6367,4,3,2,432,Potential Loyalists,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.0979
CUST_000035,Denise Edwards,Female,20.0,Philadelphia,PA,2022-02-04,6.0,6.0,11.0,4.0,2022-03-05,2022-12-17,2022-12-17,561,877,287,1495.45,1495.45,722.69,249.24,0.205,48.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1495.45,6.0,0.0,0.0,-0.3311,1,3,3,133,At Risk,65,HIGH,Severe Inactivity (>365 Days),Automated Multi-Channel Retention Flow (15% Reactivation Offer),1.0
CUST_000036,Julia Mitchell,Female,34.0,Austin,TX,2024-03-10,14.0,13.0,24.0,4.0,2024-03-11,2024-06-24,2024-06-24,6,112,105,3009.92,2248.9300000000003,1172.66,172.99,3.482,52.14,0.0,0.0,0.0,1.0,760.99,0.0714,1473.96,11.0,774.9700000000003,2.0,0.6554,0.8462,0.5381,5,4,3,543,Loyal Customers,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.0813
CUST_000037,Janice Walker,Female,28.0,Phoenix,AZ,2023-05-03,24.0,23.0,35.0,6.0,2023-05-04,2024-06-24,2024-06-24,6,424,417,7613.889999999999,7524.889999999999,3244.9,327.17,1.627,43.12,0.0,0.0,0.0,1.0,89.0,0.0417,6055.94,14.0,1468.9499999999998,9.0,0.8048,0.6087,0.7387,5,5,5,555,Champions,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.2191
CUST_000038,Julie Chavez,Female,36.0,Philadelphia,PA,2023-11-06,5.0,5.0,9.0,3.0,2023-11-06,2024-06-28,2024-06-28,2,237,235,1258.98,1258.98,590.75,251.8,0.633,46.92,0.0,0.0,0.0,0.0,0.0,0.0,836.48,3.0,422.5,2.0,0.6644,0.6,0.5482,5,3,3,533,Loyal Customers,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.1256
CUST_000039,Rachel Morales,Female,56.0,Detroit,MI,2023-03-23,22.0,21.0,31.0,11.0,2023-03-23,2024-06-26,2024-06-26,4,465,461,4517.85,4491.35,1900.52,213.87,1.355,42.32,1.0,26.5,0.0455,0.0,0.0,0.0,1367.43,8.0,3123.92,13.0,0.3045,0.381,0.0725,5,5,4,554,Champions,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.1562
CUST_000040,Gregory Ramirez,Male,38.0,Dallas,TX,2023-11-30,1.0,1.0,3.0,1.0,2023-12-06,2023-12-06,2023-12-06,207,213,0,79.5,79.5,60.69,79.5,0.141,76.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.5,1.0,0.0,0.0,-0.2961,3,1,1,311,Promising,25,MEDIUM,High Inactivity (181-365 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,0.9726
CUST_000041,Patricia James,Female,22.0,New York,NY,2024-01-13,4.0,4.0,5.0,4.0,2024-01-14,2024-06-16,2024-06-16,14,169,154,819.99,819.99,451.23,205.0,0.71,55.03,0.0,0.0,0.0,0.0,0.0,0.0,73.5,1.0,746.49,3.0,0.0896,0.25,-0.2112,4,2,2,422,Potential Loyalists,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.0789
CUST_000042,Brandon Jackson,Male,29.0,San Diego,CA,2023-01-07,0.0,0.0,0.0,0.0,,,,999,540,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,000,Inactive / Unactivated,85,CRITICAL,Unactivated Account (0 Completed Purchases),High-Touch Re-engagement / VIP Concierge Win-Back Promo,1.0
CUST_000043,Jerry Robinson,Male,60.0,Portland,OR,2023-09-26,1.0,1.0,1.0,1.0,2023-10-01,2023-10-01,2023-10-01,273,278,0,73.5,73.5,58.99,73.5,0.108,80.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,1.0,0.0,0.0,-0.2934,2,1,1,211,Hibernating,25,MEDIUM,High Inactivity (181-365 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,0.9974
CUST_000044,Virginia Young,Female,58.0,New York,NY,2024-03-30,11.0,10.0,14.0,3.0,2024-04-01,2024-06-18,2024-06-18,12,92,78,4082.43,3910.44,1476.64,391.04,3.261,37.76,0.0,0.0,0.0,1.0,171.99,0.0909,3589.45,9.0,320.99000000000024,1.0,0.9179,0.9,0.8883,4,4,4,444,Champions,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.0981
CUST_000045,Edward Martinez,Male,46.0,Charlotte,NC,2023-10-21,0.0,0.0,0.0,0.0,,,,999,253,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,000,Inactive / Unactivated,85,CRITICAL,Unactivated Account (0 Completed Purchases),High-Touch Re-engagement / VIP Concierge Win-Back Promo,1.0
CUST_000046,Justin Stewart,Male,19.0,Charlotte,NC,2024-03-03,1.0,1.0,1.0,1.0,2024-03-11,2024-03-11,2024-03-11,111,119,0,1126.5,1126.5,337.45000000000005,1126.5,0.252,29.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1126.5,1.0,0.0,0.0,-0.3304,3,1,2,312,Promising,15,LOW,Cooling Purchase Cadence (91-180 Days),Loyalty Points Acceleration & Exclusive Product Previews,0.5611
CUST_000047,Joyce Morales,Female,42.0,Dallas,TX,2023-10-06,4.0,4.0,4.0,3.0,2023-10-06,2024-03-09,2024-03-09,113,268,155,832.99,832.99,291.53,208.25,0.448,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.99,4.0,0.0,0.0,-0.3294,3,2,2,322,Promising,30,MEDIUM,Cooling Purchase Cadence (91-180 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,0.6904
CUST_000048,Pamela Lewis,Female,43.0,Houston,TX,2022-11-23,14.0,13.0,20.0,12.0,2022-11-24,2024-03-08,2024-03-08,114,585,470,2159.89,1477.91,883.1800000000001,113.69,0.667,59.76,0.0,0.0,0.0,1.0,681.98,0.0714,0.0,0.0,1477.91,13.0,0.0,0.0,-0.3311,3,4,3,343,Loyal Customers,40,MEDIUM,Cooling Purchase Cadence (91-180 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,0.8711
CUST_000049,Dylan James,Male,39.0,New York,NY,2023-12-08,2.0,2.0,6.0,2.0,2023-12-12,2024-01-26,2024-01-26,156,205,45,1382.0,1382.0,311.54,691.0,0.293,22.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1382.0,2.0,0.0,0.0,-0.3309,3,2,3,323,Promising,30,MEDIUM,Cooling Purchase Cadence (91-180 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,0.8733
CUST_000050,Christina Brown,Female,31.0,New York,NY,2023-08-17,22.0,21.0,34.0,8.0,2023-08-19,2024-06-28,2024-06-28,2,318,314,8470.87,8404.880000000001,3234.16,400.23,1.981,38.48,1.0,65.99,0.0455,0.0,0.0,0.0,5342.91,12.0,3061.970000000001,9.0,0.6357,0.5714,0.5136,5,5,5,555,Champions,0,LOW,Healthy Engagement Cadence,Loyalty Points Acceleration & Exclusive Product Previews,0.1065
CUST_000051,Mary Baker,Female,34.0,Phoenix,AZ,2022-02-07,14.0,14.0,24.0,9.0,2022-02-09,2023-03-14,2023-03-14,474,874,398,2784.94,2784.94,1417.47,198.92,0.481,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2784.94,14.0,0.0,0.0,-0.3321,1,4,3,143,At Risk,75,CRITICAL,Severe Inactivity (>365 Days),High-Touch Re-engagement / VIP Concierge Win-Back Promo,1.0
CUST_000052,Patricia Parker,Female,31.0,Boston,MA,2022-07-01,44.0,42.0,60.0,20.0,2022-07-01,2024-03-13,2024-03-13,109,730,621,10039.67,9467.67,4257.57,225.42,1.726,44.97,1.0,293.5,0.0227,1.0,278.5,0.0227,0.0,0.0,9467.67,42.0,0.0,0.0,-0.333,3,5,5,355,Loyal Customers,60,HIGH,Cooling Purchase Cadence (91-180 Days),Automated Multi-Channel Retention Flow (15% Reactivation Offer),0.8473
CUST_000053,Henry Lewis,Male,24.0,Portland,OR,2022-09-23,2.0,2.0,2.0,2.0,2022-09-27,2022-10-29,2022-10-29,610,646,32,384.99,384.99,147.05,192.5,0.093,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.99,2.0,0.0,0.0,-0.3249,1,2,2,122,Hibernating,55,HIGH,Severe Inactivity (>365 Days),Automated Multi-Channel Retention Flow (15% Reactivation Offer),1.0
CUST_000054,Eric Bailey,Male,56.0,Los Angeles,CA,2023-10-11,2.0,2.0,2.0,1.0,2023-10-13,2023-10-28,2023-10-28,246,263,15,75.99000000000001,75.99000000000001,51.72,38.0,0.228,68.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.99000000000001,2.0,0.0,0.0,-0.2946,3,2,1,321,Promising,40,MEDIUM,High Inactivity (181-365 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,0.993
CUST_000055,Noah Bailey,Male,50.0,San Antonio,TX,2023-11-17,1.0,1.0,1.0,1.0,2023-11-18,2023-11-18,2023-11-18,225,226,0,73.5,73.5,58.99,73.5,0.133,80.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,1.0,0.0,0.0,-0.2934,3,1,1,311,Promising,25,MEDIUM,High Inactivity (181-365 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,0.9838
CUST_000056,Anthony Flores,Male,35.0,San Antonio,TX,2023-12-08,2.0,2.0,3.0,1.0,2023-12-09,2023-12-21,2023-12-21,192,205,12,827.5,827.5,207.14999999999998,413.75,0.293,25.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.5,2.0,0.0,0.0,-0.3294,3,2,2,322,Promising,40,MEDIUM,High Inactivity (181-365 Days),Personalized Cross-Sell Campaign & Replenishment Nudge,0.9541
CUST_000057,Patricia Collins,Female,43.0,Phoenix,AZ,2022-03-16,8.0,7.0,13.0,7.0,2022-03-16,2023-02-04,2023-02-04,512,837,325,4647.9400000000005,4610.95,1546.87,658.71,0.251,33.55,0.0,0.0,0.0,1.0,36.99,0.125,0.0,0.0,4610.95,7.0,0.0,0.0,-0.3326,1,3,4,134,At Risk,85,CRITICAL,Severe Inactivity (>365 Days),High-Touch Re-engagement / VIP Concierge Win-Back Promo,1.0
CUST_000058,Gary Ward,Male,43.0,San Diego,CA,2022-03-21,7.0,7.0,9.0,4.0,2022-03-21,2022-11-13,2022-11-13,595,832,237,3246.9700000000003,3246.9700000000003,1064.33,463.85,0.252,32.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3246.9700000000003,7.0,0.0,0.0,-0.3323,1,3,4,134,At Risk,85,CRITICAL,Severe Inactivity (>365 Days),High-Touch Re-engagement / VIP Concierge Win-Back Promo,1.0
